,Id1,Id2,Type of Content
443,Lisa20271524,Sir_Saint1,RT
444,ayoo_noah,FormerNFLFan789,RT
445,ayoo_noah,edits841,RT
446,FormerNFLFan789,edits841,RT
447,BenLineback,FormerNFLFan789,RT
449,edits841,FormerNFLFan789,RT
450,phee2_mc,FormerNFLFan789,RT
451,InkyBri,NFL,Mention
452,DigitalPtGuard,FormerNFLFan789,RT
454,SiefkenRobert,AdamSchefter,Mention
455,grandadteddy,AdamSchefter,Mention
457,LordShaq2,FormerNFLFan789,RT
458,Shadology101,FormerNFLFan789,RT
459,DanielMusto10,FormerNFLFan789,RT
461,cammarshallfilm,TH3_GOD_,Mention
461,cammarshallfilm,YoungAngel_,Mention
461,cammarshallfilm,FirstTake,Mention
461,cammarshallfilm,MikeFrancesa,Mention
462,FormerNFLFan789,MAGAMAN858,RT
462,FormerNFLFan789,NFL,RT
463,FormerNFLFan789,BornCincyFan,RT
463,FormerNFLFan789,nflcommish,RT
463,FormerNFLFan789,NFL,RT
466,FootballFan734,nflcommish,Mention
467,wtondo,TheHouse_Ent,RT
468,_TheZyro,barstoolsports,RT
471,MAGAMAN858,NFL,Mention
472,Piersky65,realAlexRWagner,RT
473,_VictorChaos,Billyhottakes,Mention
473,_VictorChaos,PFN365,Mention
474,THE_GRAYF0X,WilliamScottDe3,Mention
474,THE_GRAYF0X,GottliebShow,Mention
475,THE_GRAYF0X,NFL,Mention
476,SiefkenRobert,Chiefs,Mention
478,rusteezeworld,WorimiFella,RT
478,rusteezeworld,Bengals,RT
479,Gruelingtruth,thebengalorian,Mention
479,Gruelingtruth,TheBengalsWire,Mention
479,Gruelingtruth,WhoDey_UK,Mention
479,Gruelingtruth,BengalsNation8,Mention
479,Gruelingtruth,moose196850,Mention
479,Gruelingtruth,WhoooDeyy,Mention
479,Gruelingtruth,BengalsTalk,Mention
480,WilliamScottDe3,GottliebShow,Mention
482,ChadJobe2,ShereeWLWT,Mention
483,9thwdleekilla,Throwback420,RT
484,cinbengalsJB9,TonyKnowsBall,RT
485,cinbengalsJB9,gosuprime21,RT
486,cinbengalsJB9,LazyMxtt,RT
487,cinbengalsJB9,ppotterta,RT
488,cinbengalsJB9,MediaLiarz,RT
488,cinbengalsJB9,tkelce,RT
488,cinbengalsJB9,PatrickMahomes,RT
488,cinbengalsJB9,BrittanyLynne,RT
489,cinbengalsJB9,GetYoShinebox,RT
491,cinbengalsJB9,CINClothingCo,RT
492,cinbengalsJB9,punkrockdub,RT
493,cinbengalsJB9,VARGASSZNN,RT
494,cinbengalsJB9,Thomas_Buckeye5,RT
495,cinbengalsJB9,DatFrostyOne,RT
496,cinbengalsJB9,Cromezn,RT
497,DonBrow77958233,NFL,Mention
497,DonBrow77958233,TomBrady,Mention
